rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_lsf_libritts_masculine_v8__low_f0_conservative_conditioned_v9c,libritts_r__121__121_127105_000014_000001__641cdd4fd5,121_127105_000014_000001,female,masculine,LibriTTS-R,low_f0,157.576575,diagnostic,conservative_conditioned_v9c,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_libritts_masculine_v8__low_f0_conservative_conditioned_v9c|libritts_r__121__121_127105_000014_000001__641cdd4fd5|121_127105_000014_000001|female|masculine|LibriTTS-R|low_f0|157.576575|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000014_000001.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,1774839199152597900,1774839200727767000,-18.251764,-18.251762,0.000002,-0.915503,-1.139868,-0.224365,0.000000,0.000000,0.000000,0.005263,0.005263,0.000000,0.780247,0.787654,0.007407,157.576575,157.140853,-0.435722,-0.277,1707.356386,1607.047220,-100.309166,1.034833,1.009740,-0.025093,-0.160129,-0.128848,0.031281,-17.172950,-18.848764,-1.675813,-20.138494,-20.494161,-0.355668,0.012171,0.356995,0.025455,70.00,98.59,82.46,81.69,pass,safe,likely,strong_pass,presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_libritts_masculine_v8__mid_f0_conservative_conditioned_v9c,libritts_r__1673__1673_143397_000031_000000__ba0043c743,1673_143397_000031_000000,female,masculine,LibriTTS-R,mid_f0,198.318579,diagnostic,conservative_conditioned_v9c,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_libritts_masculine_v8__mid_f0_conservative_conditioned_v9c|libritts_r__1673__1673_143397_000031_000000__ba0043c743|1673_143397_000031_000000|female|masculine|LibriTTS-R|mid_f0|198.318579|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1673\143397\1673_143397_000031_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1673\143397\1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,1774839200730714300,1774839202145262200,-16.832193,-16.832192,0.000001,-0.915503,-0.885512,0.029991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875244,0.855750,-0.019494,198.318579,197.066795,-1.251784,-0.631,2222.124597,2100.739248,-121.385349,1.049405,1.027759,-0.021646,-0.291355,-0.129848,0.161507,-12.913661,-17.700444,-4.786784,-19.212702,-19.688193,-0.475492,0.022525,0.438385,0.038728,60.61,80.00,89.48,73.64,borderline,safe,likely,borderline,presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_libritts_masculine_v8__high_f0_conservative_conditioned_v9c,libritts_r__1580__1580_141083_000015_000002__3956e6b80f,1580_141083_000015_000002,female,masculine,LibriTTS-R,high_f0,232.006399,diagnostic,conservative_conditioned_v9c,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_libritts_masculine_v8__high_f0_conservative_conditioned_v9c|libritts_r__1580__1580_141083_000015_000002__3956e6b80f|1580_141083_000015_000002|female|masculine|LibriTTS-R|high_f0|232.006399|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1580\141083\1580_141083_000015_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1580\141083\1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,1774839202147280300,1774839203814479900,-17.979329,-17.979327,0.000002,-0.915503,-2.176492,-1.260989,0.000000,0.000000,0.000000,0.003546,0.003546,0.000000,0.921797,0.906822,-0.014975,232.006399,231.536201,-0.470198,-0.203,1787.113947,1623.511577,-163.602370,0.886652,0.845836,-0.040816,-0.286191,-0.131115,0.155076,-13.363679,-18.083161,-4.719482,-18.479955,-19.627453,-1.147498,0.020694,0.459015,0.043696,70.00,72.23,100.00,78.17,pass,borderline,likely,pass,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__low_f0_conservative_conditioned_v9c,libritts_r__2803__2803_154320_000003_000002__48ed518add,2803_154320_000003_000002,male,feminine,LibriTTS-R,low_f0,98.816335,diagnostic,conservative_conditioned_v9c,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_libritts_feminine_v8__low_f0_conservative_conditioned_v9c|libritts_r__2803__2803_154320_000003_000002__48ed518add|2803_154320_000003_000002|male|feminine|LibriTTS-R|low_f0|98.816335|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2803\154320\2803_154320_000003_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2803\154320\2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,1774839203818365200,1774839206349140300,-21.044664,-21.044664,0.000000,-0.915503,-0.929063,-0.013560,0.000000,0.000000,0.000000,0.057214,0.057214,0.000000,0.648775,0.641774,-0.007001,98.816335,98.489978,-0.326357,-0.330,1760.198205,1824.587958,64.389753,1.250733,1.267773,0.017040,-0.202098,-0.246136,-0.044038,-13.638324,-12.805087,0.833237,-27.580042,-26.577179,1.002863,0.015329,0.350891,0.016206,59.82,100.00,59.89,71.89,borderline,safe,borderline,borderline,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__mid_f0_conservative_conditioned_v9c,libritts_r__1320__1320_122612_000044_000005__969a1894c7,1320_122612_000044_000005,male,feminine,LibriTTS-R,mid_f0,111.651180,diagnostic,conservative_conditioned_v9c,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_libritts_feminine_v8__mid_f0_conservative_conditioned_v9c|libritts_r__1320__1320_122612_000044_000005__969a1894c7|1320_122612_000044_000005|male|feminine|LibriTTS-R|mid_f0|111.651180|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1320\122612\1320_122612_000044_000005.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1320\122612\1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,1774839206351140100,1774839207619427600,-16.766131,-16.766130,0.000001,-0.915503,-1.522661,-0.607158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910026,0.904884,-0.005142,111.651180,111.576091,-0.075089,-0.067,1488.122583,1563.414165,75.291582,1.124775,1.146503,0.021728,-0.139485,-0.172980,-0.033495,-18.741952,-17.210118,1.531833,-18.472989,-18.003561,0.469429,0.021354,0.329193,0.022032,52.11,100.00,51.28,66.27,borderline,safe,borderline,borderline,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__high_f0_conservative_conditioned_v9c,libritts_r__1272__1272_135031_000053_000002__5c0833d575,1272_135031_000053_000002,male,feminine,LibriTTS-R,high_f0,158.954898,diagnostic,conservative_conditioned_v9c,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_libritts_feminine_v8__high_f0_conservative_conditioned_v9c|libritts_r__1272__1272_135031_000053_000002__5c0833d575|1272_135031_000053_000002|male|feminine|LibriTTS-R|high_f0|158.954898|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1272\135031\1272_135031_000053_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1272\135031\1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,1774839207622460800,1774839208605444500,-21.167348,-21.167343,0.000005,-0.915503,-0.801387,0.114116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.712082,0.717224,0.005142,158.954898,158.447967,-0.506931,-0.319,2168.281490,2212.182107,43.900617,1.134842,1.144934,0.010092,-0.485670,-0.512741,-0.027070,-15.121110,-14.954351,0.166759,-12.121312,-11.861064,0.260248,0.008486,0.242096,0.015192,25.47,100.00,26.28,48.03,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__low_f0_conservative_conditioned_v9c,vctk_corpus_0_92__p225__p225_289_mic1__0a53b99a4a,p225_289_mic1,female,masculine,VCTK Corpus 0.92,low_f0,174.016105,diagnostic,conservative_conditioned_v9c,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_vctk_masculine_v8__low_f0_conservative_conditioned_v9c|vctk_corpus_0_92__p225__p225_289_mic1__0a53b99a4a|p225_289_mic1|female|masculine|VCTK Corpus 0.92|low_f0|174.016105|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_289_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__female__masculine__lsf__p225_289_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__female__masculine__lsf__p225_289_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_289_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__female__masculine__lsf__p225_289_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__female__masculine__lsf__p225_289_mic1.wav,1774839208610582300,1774839209867814600,-27.000979,-27.000970,0.000009,-6.188141,-6.359528,-0.171387,0.000000,0.000000,0.000000,0.005319,0.005319,0.000000,0.448878,0.433915,-0.014963,174.016105,172.971550,-1.044555,-0.600,4317.739890,4245.806338,-71.933552,1.394667,1.389986,-0.004682,-0.126298,-0.141367,-0.015068,-18.209925,-17.055213,1.154713,-20.394843,-20.832127,-0.437284,0.004051,0.123077,0.005179,13.11,100.00,26.15,42.44,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__mid_f0_conservative_conditioned_v9c,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,mid_f0,189.353497,diagnostic,conservative_conditioned_v9c,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_vctk_masculine_v8__mid_f0_conservative_conditioned_v9c|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|mid_f0|189.353497|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__female__masculine__lsf__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,1774839209874321400,1774839211231801000,-28.394677,-28.394682,-0.000005,-9.904260,-9.816002,0.088258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.490000,-0.060000,189.353497,191.771998,2.418501,1.277,3782.671221,3662.663734,-120.007487,1.300525,1.281012,-0.019513,-0.174650,-0.110190,0.064460,-16.561358,-19.161605,-2.600247,-18.839322,-20.396126,-1.556804,0.003585,0.088867,0.009294,54.64,76.92,85.03,68.92,borderline,borderline,likely,borderline,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__high_f0_conservative_conditioned_v9c,vctk_corpus_0_92__p236__p236_003_mic1__e59ee20487,p236_003_mic1,female,masculine,VCTK Corpus 0.92,high_f0,233.589445,diagnostic,conservative_conditioned_v9c,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_vctk_masculine_v8__high_f0_conservative_conditioned_v9c|vctk_corpus_0_92__p236__p236_003_mic1__e59ee20487|p236_003_mic1|female|masculine|VCTK Corpus 0.92|high_f0|233.589445|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p236\p236_003_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__female__masculine__lsf__p236_003_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__female__masculine__lsf__p236_003_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p236\p236_003_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__female__masculine__lsf__p236_003_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__female__masculine__lsf__p236_003_mic1.wav,1774839211238396900,1774839213074609000,-27.012097,-27.012090,0.000007,-7.289574,-7.764958,-0.475384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530081,0.515447,-0.014634,233.589445,231.352066,-2.237379,-0.958,3836.866031,3727.362233,-109.503798,1.215523,1.207128,-0.008395,-0.467161,-0.346250,0.120911,-13.379146,-16.382673,-3.003527,-15.227651,-15.637330,-0.409679,0.007048,0.345123,0.010577,23.51,87.97,61.39,52.32,fail,safe,likely,fail,direction_weak;presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_vctk_feminine_v8__low_f0_conservative_conditioned_v9c,vctk_corpus_0_92__p237__p237_066_mic1__8e14e99fbc,p237_066_mic1,male,feminine,VCTK Corpus 0.92,low_f0,81.949200,diagnostic,conservative_conditioned_v9c,1.000,1.000,brightness_up,LSF feminine v7：同步提高 VCTK feminine 强度，避免整包出现只补 masculine、而 feminine 侧继续普遍偏弱的失衡。 [machine_sweep=conservative_conditioned_v9c],stage0_speech_lsf_vctk_feminine_v8__low_f0_conservative_conditioned_v9c|vctk_corpus_0_92__p237__p237_066_mic1__8e14e99fbc|p237_066_mic1|male|feminine|VCTK Corpus 0.92|low_f0|81.949200|diagnostic|conservative_conditioned_v9c|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p237\p237_066_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__male__feminine__lsf__p237_066_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__male__feminine__lsf__p237_066_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p237\p237_066_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\original\vctk__male__feminine__lsf__p237_066_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\conservative_conditioned_v9c\processed\vctk__male__feminine__lsf__p237_066_mic1.wav,1774839213079202500,1774839214473307800,-24.774047,-24.774046,0.000001,-7.605709,-7.584737,0.020972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533666,0.536160,0.002494,81.949200,81.948797,-0.000403,-0.000,3310.936570,3375.892813,64.956243,1.606406,1.614846,0.008440,-0.093418,-0.107583,-0.014166,-20.788378,-19.974330,0.814048,-19.351535,-18.863690,0.487845,0.006749,0.156799,0.006441,29.41,100.00,33.85,51.69,fail,safe,borderline,fail,direction_weak,pending,,,,,,
