summary_label,record_id,rule_id,carrier_target_shift_score,target_log_mel_mae,source_probe_logmel_dtw_l1,source_probe_voiced_overlap_iou,source_probe_f0_overlap_mae_cents,source_probe_structure_risk_score,target_probe_logmel_dtw_l1,target_probe_voiced_overlap_iou,target_probe_f0_overlap_mae_cents,target_probe_structure_risk_score,edit_added_structure_risk
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,35.63,0.898037,0.5940,0.8637,42.5352,22.51,1.9344,0.7429,108.6095,48.53,26.02
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,34.74,0.448523,0.5593,0.9176,34.9609,19.52,1.4319,0.8541,167.5000,49.93,30.41
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,70.07,1.219072,0.5493,0.9126,39.9155,19.97,2.2498,0.4725,385.1852,65.18,45.21
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,45.57,0.921211,0.5652,0.7973,43.4746,23.46,1.8039,0.3827,268.6792,66.65,43.20
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,27.96,1.085481,0.5373,0.6548,20.7273,24.28,2.0456,0.4599,433.3721,64.57,40.29
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,45.28,0.458240,0.5524,0.7774,23.3333,21.70,1.5199,0.8141,100.5023,44.47,22.78
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,32.75,0.302276,0.4780,0.9005,24.1818,16.84,1.4837,0.6321,316.1973,59.98,43.13
v1_fixed8_v9a_bigvgan_11025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,34.70,0.425003,0.5286,0.7926,23.8397,20.78,1.4517,0.4382,260.9402,64.95,44.16
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,43.57,0.834032,0.5940,0.8637,42.5352,22.51,1.7083,0.7441,104.4798,47.32,24.81
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,33.45,0.383396,0.5593,0.9176,34.9609,19.52,0.9898,0.8848,123.9880,39.46,19.94
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,75.40,0.392609,0.5493,0.9126,39.9155,19.97,0.9532,0.7066,113.2491,42.01,22.04
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,64.58,0.839820,0.5652,0.7973,43.4746,23.46,1.5887,0.3135,154.5263,60.31,36.85
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,20.53,1.062561,0.5373,0.6548,20.7273,24.28,1.8248,0.5281,429.1489,62.95,38.66
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,43.81,0.383628,0.5524,0.7774,23.3333,21.70,0.9518,0.8051,71.5525,35.45,13.76
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,51.00,0.290244,0.4780,0.9005,24.1818,16.84,0.8861,0.7551,96.7832,37.39,20.54
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,28.49,0.368440,0.5286,0.7926,23.8397,20.78,0.9151,0.5131,63.8686,41.22,20.43
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,36.26,0.402082,0.5940,0.8637,42.5352,22.51,0.7988,0.8475,87.5714,32.21,9.70
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,41.24,0.383887,0.5593,0.9176,34.9609,19.52,0.7565,0.8995,64.7451,27.71,8.19
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,51.82,0.381352,0.5493,0.9126,39.9155,19.97,0.7149,0.8509,65.3172,27.89,7.92
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,54.11,0.392462,0.5652,0.7973,43.4746,23.46,0.7066,0.7900,97.0721,32.12,8.66
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,36.54,1.072374,0.5373,0.6548,20.7273,24.28,1.7498,0.4286,318.9744,65.55,41.27
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,40.66,0.375204,0.5524,0.7774,23.3333,21.70,0.7343,0.7308,49.4258,29.79,8.09
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,50.91,0.278347,0.4780,0.9005,24.1818,16.84,0.6441,0.8709,61.7066,25.17,8.32
v1_fixed8_v9a_bigvgan_11025_anchor050_blend075_pc150_cap200_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,8.07,0.356461,0.5286,0.7926,23.8397,20.78,0.7137,0.7951,35.2444,26.40,5.62
