domain,group_axis,group_value,f0_condition,bucket_scheme,signal_name,observed_direction,recommended_action,recommended_strength,confidence,status,notes
speech,dataset_name,all,all,domain_level,spectral_centroid_hz_mean,female_higher,hold_global_rule,none,low,observe_only,"speech 两个数据集在绝对谱重心上同向，但 `log_centroid_minus_log_f0` 方向不一致，当前不写统一规则。"
speech,dataset_name,LibriTTS-R,low_or_high,tertile,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,weak,low,candidate_only,"仅作为数据集内方向参考，不直接外推为通用 speech 规则。"
speech,dataset_name,VCTK Corpus 0.92,all,median_split,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,weak,low,candidate_only,"与 LibriTTS-R 方向相反，说明 speech 侧当前更适合作为观察信号，不适合直接进 v1 统一先验。"
singing,coarse_style,fast_forte,low_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,medium,medium,active_candidate,"低区已为正，但幅度小于高区；可作为保守开启项。"
singing,coarse_style,fast_forte,high_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,medium_high,high,active_candidate,"高区正向稳定，delta=+0.168。"
singing,coarse_style,fast_piano,low_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,medium,medium,active_candidate,"两档都为正，可作稳定 style。"
singing,coarse_style,fast_piano,high_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,medium,medium,active_candidate,"高区为正但略弱于 fast_forte。"
singing,coarse_style,slow_forte,low_band,median_split,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,weak,medium,active_candidate,"低区为负，建议仅保守开启。"
singing,coarse_style,slow_forte,high_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,high,high,active_candidate,"高区正向最强之一，delta=+0.172。"
singing,coarse_style,slow_piano,low_band,median_split,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,weak,medium,active_candidate,"低区为负但幅度中等，适合保守男性向候选。"
singing,coarse_style,slow_piano,high_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,medium,medium,active_candidate,"高区正向稳定，但低于 slow_forte / straight / vibrato。"
singing,coarse_style,straight,low_band,median_split,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,medium,high,active_candidate,"低区负向较强，delta=-0.154。"
singing,coarse_style,straight,high_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,high,high,active_candidate,"高区正向稳定，delta=+0.169。"
singing,coarse_style,vibrato,low_band,median_split,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,medium,high,active_candidate,"低区负向较强，delta=-0.146。"
singing,coarse_style,vibrato,high_band,median_split,mean_log_centroid_minus_log_f0,female_higher,brightness_up_if_target_is_feminine,high,high,active_candidate,"高区正向稳定，delta=+0.163。"
singing,coarse_style,forte,mid_band,tertile,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,weak,low,overlap_limited,"仅中间重叠区可比较，不纳入常规 v1 规则。"
singing,coarse_style,pp,mid_band,tertile,mean_log_centroid_minus_log_f0,male_higher,brightness_down_if_target_is_masculine,weak,low,overlap_limited,"仅中间重叠区可比较，不纳入常规 v1 规则。"
