queue_label,queue_path,rows,avg_auto_quant_score,avg_auto_direction_score,avg_auto_effect_score,top_auto_quant_score,strong_pass_rows,pass_rows,borderline_rows,fail_rows,strongish_rows,machine_gate_decision,machine_gate_reason,reviewed_outcome
stage0_speech_cepstral_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_cepstral_listening_pack\v1\listening_review_queue.csv,8,85.23,77.87,80.74,100.00,6,0,2,0,8,allow_human_review,meets_primary_machine_gate,not_reviewed
stage0_speech_lpc_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lpc_listening_pack\v2\listening_review_queue.csv,8,80.19,70.49,75.54,100.00,5,0,1,2,6,allow_human_review,meets_primary_machine_gate,reviewed_non_null
stage0_speech_lsf_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v1\listening_review_queue.csv,8,73.54,60.31,65.63,100.00,2,0,4,2,6,allow_human_review,meets_primary_machine_gate,not_reviewed
stage0_speech_lpc_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lpc_listening_pack\v1\listening_review_queue.csv,8,69.41,54.98,58.67,100.00,2,0,4,2,6,allow_human_review,meets_primary_machine_gate,not_reviewed
stage0_speech_envelope_listening_pack/v4,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_envelope_listening_pack\v4\listening_review_queue.csv,8,58.45,31.19,60.29,86.50,1,0,2,5,3,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_envelope_listening_pack/v5,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_envelope_listening_pack\v5\listening_review_queue.csv,8,58.00,31.16,57.82,84.19,1,0,3,4,4,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_resonance_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_resonance_listening_pack\v1\listening_review_queue.csv,8,52.75,32.07,33.82,73.30,0,0,2,6,2,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_low_rank_envelope_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\listening_review_queue.csv,8,52.72,31.09,34.92,60.92,0,0,2,6,2,skip_human_review,machine_gate_not_met,not_reviewed
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,8,50.00,21.44,43.19,72.98,0,0,2,6,2,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_formant_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\listening_review_queue.csv,8,49.56,26.21,32.77,58.39,0,0,1,7,1,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_neural_envelope_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_neural_envelope_listening_pack\v1\listening_review_queue.csv,8,49.44,27.06,29.05,61.78,0,0,2,6,2,skip_human_review,machine_gate_not_met,not_reviewed
stage0_speech_envelope_listening_pack/v3,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_envelope_listening_pack\v3\listening_review_queue.csv,8,47.30,14.92,43.82,73.59,0,0,1,7,1,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_probe_guided_envelope_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_probe_guided_envelope_listening_pack\v1\listening_review_queue.csv,8,41.62,15.91,17.86,53.15,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_world_stft_delta_listening_pack/v4,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v4\listening_review_queue.csv,8,40.99,6.11,43.68,57.21,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_vtl_warping_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_vtl_warping_listening_pack\v2\listening_review_queue.csv,8,39.26,0.10,36.86,42.61,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_source_filter_residual_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\listening_review_queue.csv,8,39.19,12.70,13.89,46.59,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_conditioned_neural_envelope_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditioned_neural_envelope_listening_pack\v1\listening_review_queue.csv,8,38.48,11.45,13.29,49.12,0,0,0,8,0,skip_human_review,machine_gate_not_met,not_reviewed
stage0_speech_world_stft_delta_listening_pack/v3,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\listening_review_queue.csv,8,37.77,0.16,40.56,43.55,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_world_stft_delta_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v2\listening_review_queue.csv,8,37.66,0.13,41.30,44.75,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_non_null
stage0_speech_formant_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v1\listening_review_queue.csv,8,37.42,8.57,14.26,42.82,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_world_stft_delta_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v1\listening_review_queue.csv,8,37.16,0.07,32.30,43.23,0,0,0,8,0,skip_human_review,machine_gate_not_met,not_reviewed
stage0_speech_vtl_warping_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_vtl_warping_listening_pack\v1\listening_review_queue.csv,8,36.92,3.73,20.96,47.41,0,0,0,8,0,skip_human_review,machine_gate_not_met,not_reviewed
stage0_speech_conditional_envelope_transport_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\listening_review_queue.csv,8,35.64,7.18,9.63,45.06,0,0,0,8,0,skip_human_review,machine_gate_not_met,reviewed_null_result
stage0_speech_conditional_envelope_transport_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v1\listening_review_queue.csv,8,31.76,1.43,4.44,33.20,0,0,0,8,0,skip_human_review,machine_gate_not_met,not_reviewed
