queue_label,queue_path,total_rows,reviewed_rows,pending_rows,audible_yes,audible_maybe,audible_no,direction_yes,direction_maybe,direction_no,direction_na,artifact_yes,artifact_slight,artifact_no,artifact_na,keep_yes,keep_maybe,keep_no,keep_na,strength_ok,strength_too_weak,strength_too_strong,strength_na,proposed_disposition,implicit_direction_yes,implicit_artifact_no,implicit_strength_ok,implicit_keep_yes
stage0_speech_envelope_listening_pack/v3,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_envelope_listening_pack\v3\listening_review_queue.csv,8,8,0,3,0,5,0,3,0,5,0,3,0,5,0,1,0,7,3,0,0,5,watch_with_risk,0,0,3,0
stage0_speech_envelope_listening_pack/v4,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_envelope_listening_pack\v4\listening_review_queue.csv,8,8,0,6,1,1,0,2,4,2,0,3,3,2,1,0,0,7,4,2,0,2,reject,0,3,4,1
stage0_speech_envelope_listening_pack/v5,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_envelope_listening_pack\v5\listening_review_queue.csv,8,8,0,5,0,3,5,0,0,3,0,2,4,2,4,0,0,4,1,4,0,3,watch_with_risk,0,3,1,4
stage0_speech_formant_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v1\listening_review_queue.csv,8,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,null_result,0,0,0,0
stage0_speech_formant_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\listening_review_queue.csv,8,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,null_result,0,0,0,0
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,8,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,null_result,0,0,0,0
stage0_speech_resonance_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_resonance_listening_pack\v1\listening_review_queue.csv,8,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,null_result,0,0,0,0
stage0_speech_world_stft_delta_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v1\listening_review_queue.csv,8,8,0,2,2,4,2,1,0,5,0,0,2,6,2,0,0,6,0,4,0,4,watch,2,2,0,2
stage0_speech_world_stft_delta_listening_pack/v2,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v2\listening_review_queue.csv,8,8,0,0,4,4,0,0,0,8,0,2,1,5,0,0,0,8,0,0,0,8,watch_with_risk,0,0,0,0
stage0_speech_world_stft_delta_listening_pack/v3,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\listening_review_queue.csv,8,8,0,4,2,2,5,0,0,3,0,0,4,4,4,0,0,4,0,5,0,3,watch,0,4,0,4
stage0_speech_world_stft_delta_listening_pack/v4,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v4\listening_review_queue.csv,8,8,0,4,4,0,1,4,0,3,4,4,0,0,0,0,0,8,3,1,0,4,reject,0,0,3,0
