queue_label,record_id,rule_id,reviewed_artifact_issue,reviewed_effect_audible,duration_drift_ms,logmel_dtw_l1,mfcc_dtw_cosine,voiced_overlap_iou,f0_overlap_mae_cents,f0_overlap_corr,harmonic_share_src,harmonic_share_proc,harmonic_share_delta,mean_log_flatness_src,mean_log_flatness_proc,mean_log_flatness_delta,zcr_src,zcr_proc,zcr_delta,structure_risk_score
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,yes,yes,1.0000,0.7101,0.0049,0.8197,129.3842,0.9420,0.7110,0.6395,-0.0715,-3.2808,-4.0578,-0.7770,0.0574,0.0559,-0.0014,34.51
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,yes,yes,-3.4167,0.6748,0.0037,0.8642,84.1020,0.9786,0.6285,0.5544,-0.0741,-3.3139,-4.0858,-0.7719,0.0828,0.0800,-0.0027,28.28
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,yes,yes,-0.1667,0.5939,0.0033,0.7969,68.9355,0.9664,0.1434,0.1228,-0.0206,-2.9965,-3.7451,-0.7486,0.0697,0.0700,0.0003,26.56
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,yes,yes,2.3750,1.4842,0.0108,0.5667,154.8824,0.8565,0.2088,0.1799,-0.0289,-2.8411,-3.4081,-0.5670,0.0763,0.0790,0.0027,56.33
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,yes,yes,-2.9583,0.6009,0.0022,0.7770,57.6077,0.9800,0.4001,0.3679,-0.0322,-3.1641,-3.7069,-0.5428,0.0780,0.0725,-0.0056,26.06
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,no,no,-4.4583,0.5373,0.0034,0.6548,20.7273,0.9987,0.4770,0.4870,0.0100,-3.2988,-3.7977,-0.4989,0.0415,0.0381,-0.0034,24.28
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,yes,yes,-0.4167,0.5681,0.0021,0.7246,29.7500,0.9488,0.4904,0.3673,-0.1231,-3.0667,-3.5487,-0.4820,0.0850,0.0855,0.0005,24.06
stage0_atrr_vocoder_bigvgan_fixed8/rowveto_p230_override2086_025_v1,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,yes,yes,0.7083,0.5812,0.0023,0.7558,78.2427,0.9257,0.5203,0.3920,-0.1283,-2.8490,-3.4127,-0.5637,0.0730,0.0667,-0.0063,27.98
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,yes,yes,1.0000,1.9344,0.0208,0.7429,108.6095,0.9125,0.7110,0.7079,-0.0031,-3.2808,-4.0276,-0.7468,0.0574,0.0585,0.0011,48.53
stage0_atrr_vocoder_bigvgan_fixed8/blend075_pc150_cap200_v1,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,yes,yes,-3.4167,1.4319,0.0105,0.8541,167.5000,0.9635,0.6285,0.4922,-0.1362,-3.3139,-4.3114,-0.9975,0.0828,0.0656,-0.0171,49.93
