summary_label,record_id,rule_id,carrier_target_shift_score,target_log_mel_mae,source_probe_logmel_dtw_l1,source_probe_voiced_overlap_iou,source_probe_f0_overlap_mae_cents,source_probe_structure_risk_score,target_probe_logmel_dtw_l1,target_probe_voiced_overlap_iou,target_probe_f0_overlap_mae_cents,target_probe_structure_risk_score,edit_added_structure_risk
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,43.57,0.834032,0.5940,0.8637,42.5352,22.51,1.7083,0.7441,104.4798,47.32,24.81
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,33.45,0.383396,0.5593,0.9176,34.9609,19.52,0.9898,0.8848,123.9880,39.46,19.94
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,75.40,0.392609,0.5493,0.9126,39.9155,19.97,0.9532,0.7066,113.2491,42.01,22.04
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,64.58,0.839820,0.5652,0.7973,43.4746,23.46,1.5887,0.3135,154.5263,60.31,36.85
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,20.53,1.062561,0.5373,0.6548,20.7273,24.28,1.8248,0.5281,429.1489,62.95,38.66
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,43.81,0.383628,0.5524,0.7774,23.3333,21.70,0.9518,0.8051,71.5525,35.45,13.76
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,51.00,0.290244,0.4780,0.9005,24.1818,16.84,0.8861,0.7551,96.7832,37.39,20.54
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,28.49,0.368440,0.5286,0.7926,23.8397,20.78,0.9151,0.5131,63.8686,41.22,20.43
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,34.27,0.401319,0.5940,0.8637,42.5352,22.51,0.9817,0.8418,141.5029,41.96,19.45
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,33.21,0.385194,0.5593,0.9176,34.9609,19.52,0.9663,0.8770,117.2144,38.44,18.92
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,79.04,0.393004,0.5493,0.9126,39.9155,19.97,0.9490,0.6692,108.4291,42.40,22.43
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,60.11,0.829150,0.5652,0.7973,43.4746,23.46,1.5660,0.3844,158.6726,60.61,37.15
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,1.60,1.064022,0.5373,0.6548,20.7273,24.28,1.8234,0.5722,433.8835,61.84,37.55
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,40.91,0.383930,0.5524,0.7774,23.3333,21.70,0.9403,0.8081,69.0411,34.86,13.16
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,48.40,0.288469,0.4780,0.9005,24.1818,16.84,0.8824,0.8041,110.3307,37.30,20.46
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh100_min025_blend075_pc150_cap200_full8,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,22.61,0.367986,0.5286,0.7926,23.8397,20.78,0.9133,0.5056,59.4815,40.96,20.18
v1_fixed8_v9a_bigvgan_11025_anchor075_thresh090_min025_blend075_pc150_cap200_full8,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,35.28,0.400802,0.5940,0.8637,42.5352,22.51,0.9561,0.8519,139.1168,40.82,18.32
