rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_lsf_libritts_masculine_v8__low_f0_f0_evening_v9b,libritts_r__121__121_127105_000014_000001__641cdd4fd5,121_127105_000014_000001,female,masculine,LibriTTS-R,low_f0,157.576575,diagnostic,f0_evening_v9b,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_libritts_masculine_v8__low_f0_f0_evening_v9b|libritts_r__121__121_127105_000014_000001__641cdd4fd5|121_127105_000014_000001|female|masculine|LibriTTS-R|low_f0|157.576575|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000014_000001.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,1774839152276238300,1774839154098338000,-18.251764,-18.251759,0.000005,-0.915503,-1.113612,-0.198109,0.000000,0.000000,0.000000,0.005263,0.005263,0.000000,0.780247,0.775309,-0.004938,157.576575,157.147683,-0.428892,-0.272,1707.356386,1594.209559,-113.146827,1.034833,1.006237,-0.028595,-0.160129,-0.124311,0.035819,-17.172950,-19.175542,-2.002591,-20.138494,-20.529220,-0.390727,0.013940,0.372711,0.028732,70.00,95.98,93.14,83.58,pass,safe,likely,strong_pass,presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_libritts_masculine_v8__mid_f0_f0_evening_v9b,libritts_r__1673__1673_143397_000031_000000__ba0043c743,1673_143397_000031_000000,female,masculine,LibriTTS-R,mid_f0,198.318579,diagnostic,f0_evening_v9b,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_libritts_masculine_v8__mid_f0_f0_evening_v9b|libritts_r__1673__1673_143397_000031_000000__ba0043c743|1673_143397_000031_000000|female|masculine|LibriTTS-R|mid_f0|198.318579|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1673\143397\1673_143397_000031_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1673\143397\1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,1774839154101940400,1774839155844183900,-16.832193,-16.832190,0.000003,-0.915503,-0.836340,0.079163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875244,0.861598,-0.013646,198.318579,197.324028,-0.994551,-0.501,2222.124597,2067.446656,-154.677941,1.049405,1.020254,-0.029151,-0.291355,-0.115275,0.176080,-12.913661,-18.619574,-5.705913,-19.212702,-19.707277,-0.494576,0.031413,0.532593,0.047907,70.00,80.00,100.00,80.50,pass,safe,likely,strong_pass,presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_libritts_masculine_v8__high_f0_f0_evening_v9b,libritts_r__1580__1580_141083_000015_000002__3956e6b80f,1580_141083_000015_000002,female,masculine,LibriTTS-R,high_f0,232.006399,diagnostic,f0_evening_v9b,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_libritts_masculine_v8__high_f0_f0_evening_v9b|libritts_r__1580__1580_141083_000015_000002__3956e6b80f|1580_141083_000015_000002|female|masculine|LibriTTS-R|high_f0|232.006399|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1580\141083\1580_141083_000015_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1580\141083\1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,1774839155850271700,1774839157914656400,-17.979329,-17.979330,-0.000001,-0.915503,-1.995846,-1.080343,0.000000,0.000000,0.000000,0.003546,0.003546,0.000000,0.921797,0.888519,-0.033278,232.006399,230.456908,-1.549491,-0.668,1787.113947,1546.838805,-240.275142,0.886652,0.826855,-0.059797,-0.286191,-0.088548,0.197643,-13.363679,-21.386733,-8.023053,-18.479955,-20.114348,-1.634393,0.028814,0.509705,0.059615,70.00,66.39,100.00,76.42,pass,borderline,likely,pass,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__low_f0_f0_evening_v9b,libritts_r__2803__2803_154320_000003_000002__48ed518add,2803_154320_000003_000002,male,feminine,LibriTTS-R,low_f0,98.816335,diagnostic,f0_evening_v9b,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_libritts_feminine_v8__low_f0_f0_evening_v9b|libritts_r__2803__2803_154320_000003_000002__48ed518add|2803_154320_000003_000002|male|feminine|LibriTTS-R|low_f0|98.816335|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2803\154320\2803_154320_000003_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2803\154320\2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,1774839157919753100,1774839160982053300,-21.044664,-21.044663,0.000001,-0.915503,-0.984106,-0.068603,0.000000,0.000000,0.000000,0.057214,0.059701,0.002487,0.648775,0.656943,0.008168,98.816335,98.571101,-0.245234,-0.248,1760.198205,1867.664451,107.466246,1.250733,1.277549,0.026816,-0.202098,-0.307320,-0.105222,-13.638324,-11.858566,1.779757,-27.580042,-25.795724,1.784318,0.019943,0.500031,0.024018,76.93,100.00,77.85,84.08,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__mid_f0_f0_evening_v9b,libritts_r__1320__1320_122612_000044_000005__969a1894c7,1320_122612_000044_000005,male,feminine,LibriTTS-R,mid_f0,111.651180,diagnostic,f0_evening_v9b,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_libritts_feminine_v8__mid_f0_f0_evening_v9b|libritts_r__1320__1320_122612_000044_000005__969a1894c7|1320_122612_000044_000005|male|feminine|LibriTTS-R|mid_f0|111.651180|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1320\122612\1320_122612_000044_000005.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1320\122612\1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,1774839160992563800,1774839162464048100,-16.766131,-16.766127,0.000004,-0.915503,-1.691702,-0.776199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910026,0.876607,-0.033419,111.651180,112.493132,0.841952,0.754,1488.122583,1597.792789,109.670206,1.124775,1.152394,0.027619,-0.139485,-0.189869,-0.050384,-18.741952,-16.599279,2.142672,-18.472989,-17.790090,0.682899,0.026101,0.417542,0.029682,68.82,100.00,69.63,78.38,borderline,safe,likely,borderline,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__high_f0_f0_evening_v9b,libritts_r__1272__1272_135031_000053_000002__5c0833d575,1272_135031_000053_000002,male,feminine,LibriTTS-R,high_f0,158.954898,diagnostic,f0_evening_v9b,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_libritts_feminine_v8__high_f0_f0_evening_v9b|libritts_r__1272__1272_135031_000053_000002__5c0833d575|1272_135031_000053_000002|male|feminine|LibriTTS-R|high_f0|158.954898|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1272\135031\1272_135031_000053_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1272\135031\1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,1774839162468417700,1774839163686822200,-21.167348,-21.167343,0.000005,-0.915503,-0.787735,0.127768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.712082,0.712082,0.000000,158.954898,158.656922,-0.297976,-0.187,2168.281490,2216.958453,48.676963,1.134842,1.145299,0.010457,-0.485670,-0.514160,-0.028490,-15.121110,-14.996988,0.124122,-12.121312,-11.826947,0.294366,0.009543,0.262054,0.017387,27.13,100.00,28.39,49.31,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__low_f0_f0_evening_v9b,vctk_corpus_0_92__p225__p225_289_mic1__0a53b99a4a,p225_289_mic1,female,masculine,VCTK Corpus 0.92,low_f0,174.016105,diagnostic,f0_evening_v9b,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_vctk_masculine_v8__low_f0_f0_evening_v9b|vctk_corpus_0_92__p225__p225_289_mic1__0a53b99a4a|p225_289_mic1|female|masculine|VCTK Corpus 0.92|low_f0|174.016105|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_289_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__female__masculine__lsf__p225_289_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__female__masculine__lsf__p225_289_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_289_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__female__masculine__lsf__p225_289_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__female__masculine__lsf__p225_289_mic1.wav,1774839163694996300,1774839165102254800,-27.000979,-27.000979,0.000000,-6.188141,-6.541680,-0.353539,0.000000,0.000000,0.000000,0.005319,0.005319,0.000000,0.448878,0.433915,-0.014963,174.016105,172.994623,-1.021482,-0.587,4317.739890,4230.474346,-87.265544,1.394667,1.388356,-0.006311,-0.126298,-0.135253,-0.008955,-18.209925,-17.343891,0.866035,-20.394843,-20.875919,-0.481076,0.004816,0.143921,0.006036,17.67,100.00,32.84,46.16,fail,safe,borderline,fail,direction_weak,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__mid_f0_f0_evening_v9b,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,mid_f0,189.353497,diagnostic,f0_evening_v9b,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_vctk_masculine_v8__mid_f0_f0_evening_v9b|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|mid_f0|189.353497|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__female__masculine__lsf__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,1774839165107618300,1774839166570835900,-28.394677,-28.394673,0.000004,-9.904260,-9.763638,0.140622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.480000,-0.070000,189.353497,191.522545,2.169048,1.146,3782.671221,3632.362186,-150.309035,1.300525,1.277969,-0.022556,-0.174650,-0.097530,0.077120,-16.561358,-20.103930,-3.542571,-18.839322,-20.576343,-1.737022,0.004944,0.111908,0.011633,63.16,65.62,95.11,71.88,borderline,borderline,likely,borderline,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__high_f0_f0_evening_v9b,vctk_corpus_0_92__p236__p236_003_mic1__e59ee20487,p236_003_mic1,female,masculine,VCTK Corpus 0.92,high_f0,233.589445,diagnostic,f0_evening_v9b,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_vctk_masculine_v8__high_f0_f0_evening_v9b|vctk_corpus_0_92__p236__p236_003_mic1__e59ee20487|p236_003_mic1|female|masculine|VCTK Corpus 0.92|high_f0|233.589445|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p236\p236_003_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__female__masculine__lsf__p236_003_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__female__masculine__lsf__p236_003_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p236\p236_003_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__female__masculine__lsf__p236_003_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__female__masculine__lsf__p236_003_mic1.wav,1774839166578937400,1774839168933976900,-27.012097,-27.012088,0.000009,-7.289574,-7.812396,-0.522822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530081,0.521951,-0.008130,233.589445,231.511113,-2.078332,-0.890,3836.866031,3677.960927,-158.905104,1.215523,1.201035,-0.014488,-0.467161,-0.332217,0.134944,-13.379146,-17.080079,-3.700933,-15.227651,-15.678724,-0.451073,0.009908,0.345490,0.014321,40.57,82.39,78.98,62.72,borderline,safe,likely,borderline,direction_weak;presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_vctk_feminine_v8__low_f0_f0_evening_v9b,vctk_corpus_0_92__p237__p237_066_mic1__8e14e99fbc,p237_066_mic1,male,feminine,VCTK Corpus 0.92,low_f0,81.949200,diagnostic,f0_evening_v9b,1.000,1.000,brightness_up,LSF feminine v7：同步提高 VCTK feminine 强度，避免整包出现只补 masculine、而 feminine 侧继续普遍偏弱的失衡。 [machine_sweep=f0_evening_v9b],stage0_speech_lsf_vctk_feminine_v8__low_f0_f0_evening_v9b|vctk_corpus_0_92__p237__p237_066_mic1__8e14e99fbc|p237_066_mic1|male|feminine|VCTK Corpus 0.92|low_f0|81.949200|diagnostic|f0_evening_v9b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p237\p237_066_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__male__feminine__lsf__p237_066_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__male__feminine__lsf__p237_066_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p237\p237_066_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\original\vctk__male__feminine__lsf__p237_066_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\f0_evening_v9b\processed\vctk__male__feminine__lsf__p237_066_mic1.wav,1774839168940707400,1774839170497617400,-24.774047,-24.774038,0.000009,-7.605709,-7.563816,0.041893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533666,0.538653,0.004987,81.949200,81.969918,0.020718,0.025,3310.936570,3411.567398,100.630828,1.606406,1.619299,0.012893,-0.093418,-0.113227,-0.019809,-20.788378,-19.706940,1.081437,-19.351535,-18.668640,0.682895,0.008995,0.205994,0.008979,43.05,100.00,50.02,61.88,borderline,safe,borderline,borderline,direction_weak,pending,,,,,,
