rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_lsf_libritts_masculine_v8__low_f0_split_core_focus_v9a,libritts_r__121__121_127105_000014_000001__641cdd4fd5,121_127105_000014_000001,female,masculine,LibriTTS-R,low_f0,157.576575,diagnostic,split_core_focus_v9a,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_libritts_masculine_v8__low_f0_split_core_focus_v9a|libritts_r__121__121_127105_000014_000001__641cdd4fd5|121_127105_000014_000001|female|masculine|LibriTTS-R|low_f0|157.576575|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000014_000001.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\121\127105\121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__female__masculine__lsf__121_127105_000014_000001.wav,1774839108467817100,1774839110143151200,-18.251764,-18.251760,0.000004,-0.915503,-1.143798,-0.228295,0.000000,0.000000,0.000000,0.005263,0.005263,0.000000,0.780247,0.770370,-0.009877,157.576575,156.391936,-1.184639,-0.752,1707.356386,1575.354789,-132.001597,1.034833,1.003164,-0.031669,-0.160129,-0.118723,0.041406,-17.172950,-19.615470,-2.442520,-20.138494,-20.577092,-0.438599,0.016740,0.404572,0.032792,70.00,92.46,97.60,83.64,pass,safe,likely,strong_pass,presence_drop_gt_1p5db,reviewed,,no,,,,
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1673__1673_143397_000031_000000__ba0043c743,1673_143397_000031_000000,female,masculine,LibriTTS-R,mid_f0,198.318579,diagnostic,split_core_focus_v9a,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a|libritts_r__1673__1673_143397_000031_000000__ba0043c743|1673_143397_000031_000000|female|masculine|LibriTTS-R|mid_f0|198.318579|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1673\143397\1673_143397_000031_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1673\143397\1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__female__masculine__lsf__1673_143397_000031_000000.wav,1774839110147990100,1774839111655576100,-16.832193,-16.832190,0.000003,-0.915503,-0.836340,0.079163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875244,0.861598,-0.013646,198.318579,197.324028,-0.994551,-0.501,2222.124597,2067.446656,-154.677941,1.049405,1.020254,-0.029151,-0.291355,-0.115275,0.176080,-12.913661,-18.619574,-5.705913,-19.212702,-19.707277,-0.494576,0.031413,0.532593,0.047907,70.00,80.00,100.00,80.50,pass,safe,likely,strong_pass,presence_drop_gt_1p5db,reviewed,,no,no,,,
stage0_speech_lsf_libritts_masculine_v8__high_f0_split_core_focus_v9a,libritts_r__1580__1580_141083_000015_000002__3956e6b80f,1580_141083_000015_000002,female,masculine,LibriTTS-R,high_f0,232.006399,diagnostic,split_core_focus_v9a,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_libritts_masculine_v8__high_f0_split_core_focus_v9a|libritts_r__1580__1580_141083_000015_000002__3956e6b80f|1580_141083_000015_000002|female|masculine|LibriTTS-R|high_f0|232.006399|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1580\141083\1580_141083_000015_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1580\141083\1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__female__masculine__lsf__1580_141083_000015_000002.wav,1774839111660629800,1774839113673810400,-17.979329,-17.979330,-0.000001,-0.915503,-2.257238,-1.341735,0.000000,0.000000,0.000000,0.003546,0.003546,0.000000,0.921797,0.901830,-0.019967,232.006399,229.097251,-2.909148,-1.254,1787.113947,1582.613761,-204.500186,0.886652,0.839355,-0.047297,-0.286191,-0.104723,0.181468,-13.363679,-19.795410,-6.431731,-18.479955,-19.939582,-1.459626,0.024981,0.479034,0.052399,70.00,68.48,100.00,77.05,pass,borderline,likely,pass,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__low_f0_split_core_focus_v9a,libritts_r__2803__2803_154320_000003_000002__48ed518add,2803_154320_000003_000002,male,feminine,LibriTTS-R,low_f0,98.816335,diagnostic,split_core_focus_v9a,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_libritts_feminine_v8__low_f0_split_core_focus_v9a|libritts_r__2803__2803_154320_000003_000002__48ed518add|2803_154320_000003_000002|male|feminine|LibriTTS-R|low_f0|98.816335|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2803\154320\2803_154320_000003_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2803\154320\2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__male__feminine__lsf__2803_154320_000003_000002.wav,1774839113678755000,1774839116160799100,-21.044664,-21.044661,0.000003,-0.915503,-0.947963,-0.032460,0.000000,0.000000,0.000000,0.057214,0.059701,0.002487,0.648775,0.642940,-0.005835,98.816335,98.610469,-0.205866,-0.208,1760.198205,1852.206837,92.008632,1.250733,1.273766,0.023034,-0.202098,-0.280492,-0.078394,-13.638324,-12.249666,1.388657,-27.580042,-26.055073,1.524969,0.018398,0.454193,0.021267,70.31,100.00,71.06,79.40,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__mid_f0_split_core_focus_v9a,libritts_r__1320__1320_122612_000044_000005__969a1894c7,1320_122612_000044_000005,male,feminine,LibriTTS-R,mid_f0,111.651180,diagnostic,split_core_focus_v9a,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_libritts_feminine_v8__mid_f0_split_core_focus_v9a|libritts_r__1320__1320_122612_000044_000005__969a1894c7|1320_122612_000044_000005|male|feminine|LibriTTS-R|mid_f0|111.651180|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1320\122612\1320_122612_000044_000005.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1320\122612\1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__male__feminine__lsf__1320_122612_000044_000005.wav,1774839116165479300,1774839117364116100,-16.766131,-16.766130,0.000001,-0.915503,-1.663727,-0.748224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910026,0.876607,-0.033419,111.651180,112.492653,0.841473,0.754,1488.122583,1601.843789,113.721206,1.124775,1.153496,0.028721,-0.139485,-0.190598,-0.051114,-18.741952,-16.584865,2.157087,-18.472989,-17.767364,0.705625,0.026451,0.423004,0.030286,71.43,100.00,72.23,80.20,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__1272__1272_135031_000053_000002__5c0833d575,1272_135031_000053_000002,male,feminine,LibriTTS-R,high_f0,158.954898,diagnostic,split_core_focus_v9a,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a|libritts_r__1272__1272_135031_000053_000002__5c0833d575|1272_135031_000053_000002|male|feminine|LibriTTS-R|high_f0|158.954898|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1272\135031\1272_135031_000053_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1272\135031\1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\libritts_r__male__feminine__lsf__1272_135031_000053_000002.wav,1774839117368288900,1774839118300462500,-21.167348,-21.167348,0.000000,-0.915503,-0.771207,0.144296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.712082,0.719794,0.007712,158.954898,157.978760,-0.976138,-0.614,2168.281490,2234.863767,66.582277,1.134842,1.150652,0.015811,-0.485670,-0.520312,-0.034642,-15.121110,-14.963482,0.157628,-12.121312,-11.767177,0.354135,0.010642,0.286743,0.020911,38.29,100.00,39.26,57.05,fail,safe,borderline,fail,,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,vctk_corpus_0_92__p225__p225_289_mic1__0a53b99a4a,p225_289_mic1,female,masculine,VCTK Corpus 0.92,low_f0,174.016105,diagnostic,split_core_focus_v9a,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a|vctk_corpus_0_92__p225__p225_289_mic1__0a53b99a4a|p225_289_mic1|female|masculine|VCTK Corpus 0.92|low_f0|174.016105|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_289_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__female__masculine__lsf__p225_289_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__female__masculine__lsf__p225_289_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_289_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__female__masculine__lsf__p225_289_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__female__masculine__lsf__p225_289_mic1.wav,1774839118305648100,1774839119382715700,-27.000979,-27.000979,0.000000,-6.188141,-6.455420,-0.267279,0.000000,0.000000,0.000000,0.005319,0.005319,0.000000,0.448878,0.446384,-0.002494,174.016105,172.937636,-1.078469,-0.620,4317.739890,4218.244091,-99.495799,1.394667,1.387242,-0.007425,-0.126298,-0.129410,-0.003112,-18.209925,-17.726706,0.483219,-20.394843,-20.867799,-0.472956,0.005534,0.164581,0.006754,20.79,100.00,36.24,48.41,fail,safe,borderline,fail,direction_weak,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,mid_f0,189.353497,diagnostic,split_core_focus_v9a,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|mid_f0|189.353497|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__female__masculine__lsf__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,1774839119389078200,1774839120606394400,-28.394677,-28.394673,0.000004,-9.904260,-9.763638,0.140622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.480000,-0.070000,189.353497,191.522545,2.169048,1.146,3782.671221,3632.362186,-150.309035,1.300525,1.277969,-0.022556,-0.174650,-0.097530,0.077120,-16.561358,-20.103930,-3.542571,-18.839322,-20.576343,-1.737022,0.004944,0.111908,0.011633,63.16,65.62,95.11,71.88,borderline,borderline,likely,borderline,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_vctk_masculine_v8__high_f0_split_core_focus_v9a,vctk_corpus_0_92__p236__p236_003_mic1__e59ee20487,p236_003_mic1,female,masculine,VCTK Corpus 0.92,high_f0,233.589445,diagnostic,split_core_focus_v9a,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_vctk_masculine_v8__high_f0_split_core_focus_v9a|vctk_corpus_0_92__p236__p236_003_mic1__e59ee20487|p236_003_mic1|female|masculine|VCTK Corpus 0.92|high_f0|233.589445|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p236\p236_003_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__female__masculine__lsf__p236_003_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__female__masculine__lsf__p236_003_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p236\p236_003_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__female__masculine__lsf__p236_003_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__female__masculine__lsf__p236_003_mic1.wav,1774839120613331600,1774839122238509100,-27.012097,-27.012093,0.000004,-7.289574,-7.777280,-0.487706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530081,0.515447,-0.014634,233.589445,231.605658,-1.983787,-0.849,3836.866031,3701.771458,-135.094573,1.215523,1.203660,-0.011863,-0.467161,-0.339550,0.127611,-13.379146,-16.771013,-3.391867,-15.227651,-15.632393,-0.404742,0.008713,0.362122,0.012619,33.22,84.87,71.74,58.34,fail,safe,likely,fail,direction_weak;presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_vctk_feminine_v8__low_f0_split_core_focus_v9a,vctk_corpus_0_92__p237__p237_066_mic1__8e14e99fbc,p237_066_mic1,male,feminine,VCTK Corpus 0.92,low_f0,81.949200,diagnostic,split_core_focus_v9a,1.000,1.000,brightness_up,LSF feminine v7：同步提高 VCTK feminine 强度，避免整包出现只补 masculine、而 feminine 侧继续普遍偏弱的失衡。 [machine_sweep=split_core_focus_v9a],stage0_speech_lsf_vctk_feminine_v8__low_f0_split_core_focus_v9a|vctk_corpus_0_92__p237__p237_066_mic1__8e14e99fbc|p237_066_mic1|male|feminine|VCTK Corpus 0.92|low_f0|81.949200|diagnostic|split_core_focus_v9a|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p237\p237_066_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__male__feminine__lsf__p237_066_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__male__feminine__lsf__p237_066_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p237\p237_066_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\original\vctk__male__feminine__lsf__p237_066_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9\split_core_focus_v9a\processed\vctk__male__feminine__lsf__p237_066_mic1.wav,1774839122243886400,1774839123566655700,-24.774047,-24.774049,-0.000002,-7.605709,-7.571418,0.034291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533666,0.556110,0.022444,81.949200,82.179283,0.230083,0.281,3310.936570,3403.317748,92.381178,1.606406,1.617140,0.010734,-0.093418,-0.111515,-0.018097,-20.788378,-19.812970,0.975407,-19.351535,-18.708304,0.643231,0.008369,0.194336,0.008368,38.08,100.00,45.03,58.39,fail,safe,borderline,fail,direction_weak,pending,,,,,,
